Word,Pron
ALF,"""alf"
ALFA,"""al.f@"
alfresco,"%al.fr""E.sko"
algebraical,"%al.dZ@.br""e.Ik.l="
algebras,"""al.dZ@.br@z"
ALGER,"""al.dZ@`"
ALGINATES,NULL
ALGOL,"""algAl"
algorithmic,"%al.g@`.r""ID.mIk"
algorithms,"""al.g@`.r%I.D@mz"
ALIA,"""e.li@"
ALIAH,NULL
aliases,"""e.li@s.@z"
alienating,"""e.li@n.%e4.IN"
alienist,"""e.li@n.Ist"
alienists,"""e.li@n.Ists"
ALIENUS,NULL
alighted,"@.l""aI4.@d"
alighting,"@.l""aI4.IN"
alights,"@.l""aIts"
aligns,"@.l""aInz"
allegros,"@.l""e.groz"
alimentary,"%a.l@.m""En.4@`.ri"
aliments,"""alIm@nts"
ALIQUOTS,"""a.lI.kwAts"
ALISON,"""a.lI.sn="
alit,"@""lIt"
ALIX,"""alIks"
ALIX'S,"""Ali%Eks@z"
ALIZARIN,"@.l""I.z@`.rIn"
ALKALOIDS,"""al.k@.lOIdz"
ALKYLARYSULFONATE,NULL
ALKYLBENZENESULFONATES,NULL
ALLA,"""AllA"
allayed,"@.l""ed"
allaying,"@.l""e.IN"
allays,"@.l""ez"
alleges,"@.l""EdZ.@z"
ALLEGHENIES,NULL
ALLEGHENY,"%a.l@.g""e.ni"
allegorically,"%a.l@.g""O.rIk.li"
allegories,"""a.l@.g%O.riz"
ALLEGRETTI,"AlEgr""Eti"
allegrettos,"%a.l@.gr""E.4oz"
alleluias,"%a.l@.l""u.j@z"
ALLEMANDS,NULL
allergens,"""a.l@`.dZ@nz"
alleviated,"@.l""i.vi.%e4.@d"
alleviates,"@.l""i.vi.ets"
alligators,"""a.l@.g%e.4@`z"
alliterated,"@.l""I.4@`.r%e4.@d"
alliterates,"@.l""I.4@`.rets"
alliterating,"@.l""I.4@`.r%e4.IN"
alliteratively,"@.l""I.4@`.r%e4.Iv.li"
allocates,"""a.l@.kets"
allocating,"""a.l@.k%e4.IN"
ALLONS,"""Ol%Anz"
allopathical,NULL
allopathically,"%al@""paTIk%ali"
allots,"@.l""Ats"
allowably,"@.l""aU@.bli"
alloyed,"""a.lOId"
alloying,"""a.lOI.IN"
ALLSO,NULL
ALLSTATES,"""Ol.st%ets"
allured,"@.l""Urd"
allurements,"@.l""Ur.m@nts"
allures,"@.l""Urz"
allusively,"@.l""us.Iv.li"
alluvia,NULL
alluvial,"@.l""u.vi@l"
alluvium,"@.l""u.vi@m"
alluviums,"@.l""u.vi@mz"
allying,"@.l""aI.IN"
ALMA,"""al.m@"
ALMADEN,"%AlmA""DEn"
ALMAGEST,"""al.m@.dZEst"
almanacs,"""Ol.m@.naks"
almoner,"""A.m@.n@`"
almoners,"""A.m@.n@`z"
ALOKUT,NULL
aloofly,"@.l""uf.li"
alopecia,"%a.l@.p""i.S@"
ALORS,NULL
alpaca,"al.p""a.k@"
alpacas,"al.p""a.k@z"
alpenhorn,"""al.p@n.h%Orn"
alpenhorns,"""al.p@n.h%Ornz"
alpenstock,"""al.p@n.stAk"
alpenstocks,"""al.p@n.stAks"
ALPERS,"""alp@`z"
ALPERT,"""al.p@`t"
ALPERTS,NULL
alphabetically,"%al.f@.b""E4.Ik.li"
alphabets,"""al.f@.bEts"
ALPHARETTA,"%alf@`""Et@"
alphas,"""al.f@z"
ALPHONSE,"al.f""Ans"
alpinism,"""alp@%nIz@m"
alpinist,"""alpInIst"
alpinists,"""alpInIsts"
ALREADEH,NULL
Alsace,"al.z""As"
Alsatian,"al.s""e.S@n"
Alsatians,"al.s""e.S@nz"
ALSING,"""alz%IN"
ALSOP,"""Ol.sAp"
ALTAIRIANS,"""alt.%Er.%i@nz"
altarpieces,"""Ol.t@`.p%is.@z"
altars,"""Ol.t@`z"
ALTENBURG,"""Olt@nb@`g"
alterable,"""Ol.t@`.@.bl="
altercated,"""Ol.t@`.k%e4.@d"
altercates,"""Ol.t@`.kets"
altercating,"""Ol.t@`.k%e4.IN"
altercations,"%Ol.t@`.k""e.Sn=z"
alternates,"""Ol.t@`.nets"
alternations,"%Ol.t@`.n""e.Sn=z"
alternators,"""Ol.t@`.n%e4.@`z"
ALTHAUS,"""althaUs"
ALTHEA,"""al.Ti@"
ALTHO,NULL
altimeter,"al.t""I.m@.4@`"
altimeters,"al.t""I.m@.4@`z"
altitudes,"""al.t@.tudz"
ALTON,"""Ol.t@n"
altos,"""al.toz"
altruisms,"""al.tru.%I.zm=z"
altruistic,"%al.tru.""Ist.Ik"
altruists,"""al.tru.Ists"
alumna,"@.l""Vm.n@"
alumnus,"@.l""Vm.n@s"
ALUNDUM,"@""l@nd@m"
ALUSIK,NULL
ALUSIK'S,NULL
ALVA,"""al.v@"
ALVAREZ,"""al.v@`.rEz"
ALVEAR,"Alv""Ir"
alveolars,"al.v""i@.l@`z"
ALVIN,"""al.vIn"
ALVISE,NULL
ALWIN,"""alwIn"
alyssum,"a.l""I.s@m"
alyssums,"a.l""I.s@mz"
AMADEE,NULL
AMADEE'S,NULL
AMADO,"Am""Ado"
amah,"""Am@"
amahs,"""Am@z"
amalgam,"@.m""al.g@m"
amalgamates,"@.m""al.g@m.ets"
amalgamating,"@.m""al.g@m.%e4.IN"
amalgamations,"@.m%al.g@m.""e.Sn=z"
amalgams,"@.m""al.g@mz"
amanuenses,"@.m%a.nu.""En.siz"
amanuensis,"@.m%a.nju.""En.sIs"
AMARAL,"AmAr""al"
amaryllis,"%a.m@`.r""I.l@s"
amaryllises,"%a.m@`.r""I.l@s.@z"
amassed,"@.m""ast"
amasses,"@.m""as.@z"
amateurishly,"""a.m@.4@`.IS.li"
amateurism,"""a.m@.4@`.%I.zm="
amazes,"@.m""ez.@z"
ambassadorial,"am.b%a.s@.d""Or.i@l"
ambassadorship,"am.b""a.s@.4@`.S%Ip"
ambassadorships,"amb""as@d@`S%Ips"
ambassadress,"am.b""a.s@.dr@s"
ambassadresses,"am.b""a.s@.dr@s.@z"
ambergris,"""am.b@`.gr%is"
ambidextrously,"%am.bI.d""Ek.str@s.li"
ambiguously,"am.b""I.gju@s.li"
ambit,"""am.bIt"
ambitiousness,"am.b""I.S@s.n@s"
ambits,"""am.bIts"
ambivalently,"am.b""I.v@.l@nt.li"
ambiguousness,"am.b""I.gju@s.n@s"
AMBLER,"""am.bl@`"
ambles,"""am.bl=z"
ambulant,"""am.bj@.l@nt"
ambuscaded,"%am.b@.sk""e4.@d"
ambuscades,"%am.b@.sk""edz"
ambuscading,"%am.b@.sk""ed.IN"
ambushing,"""am.bUS.IN"
AmE,"""em"
AMEAUX,"""em%o"
ameliorated,"@.m""i.lj@.r%e4.@d"
ameliorates,"@.m""i.lj@.rets"
ameliorating,"@.m""i.lj@.r%e4.IN"
amelioration,"@.m%i.lj@.r""e.Sn="
amends,"@.m""Endz"
amenities,"@.m""E.n@.4iz"
AMENITSKII,NULL
AMERICANEGRO,"@""mErIk@.%nigro"
ammeters,"""am%it@`z"
AMMONIAC,"@.m""o.ni.ak"
ammoniate,"@""moni%et"
ammoniated,"@""monI%etId"
Americanism,"@.m""E.r@.k@n.%I.zm="
Americanisms,"@.m""E.r@.k@n.%I.zm=z"
americanized,"@.m""E.r@.k@n.aIzd"
americanizes,"@.m""E.r@.k@n.%aIz.@z"
americanizing,"@.m""E.r@.k@n.%aIz.IN"
Amerindian,"%a.m@`.r""In.4i@n"
Amerindians,"%a.m@`.r""In.4i@nz"
AMETHYSTINE,"%a.m@.T""Ist.In"
amethysts,"""a.m@.TIsts"
Amhara,"Am""hAr@"
Amharic,"am""harIk"
amiability,"%e.mi@.b""Il.@.4i"
amiably,"""e.mi@.bli"
amicability,"%a.mI.k@.b""Il.@.4i"
AMICAM,"A.m""i.k%am"
AMICI,NULL
amidships,"@.m""Id.S%Ips"
amir,"@.m""Ir"
amirs,"@.m""Irz"
AMIS,"""e.mIs"
ammeter,"""a.mi.4@`"
ammoniates,"@""moni%ets"
ammoniating,"@""moni%etIN"
ammonite,"""am@%naIt"
ammonites,"""am@n%aIts"
amnesties,"""am.n@.stiz"
amoebae,"@.m""i.bi"
amoebas,"@.m""i.b@z"
amoebic,"@.m""i.bIk"
AMONASRO,NULL
amorously,"""a.m@`.r@s.li"
amorousness,"""a.m@`.r@s.n@s"
amorphousness,"@.m""Or.f@s.n%Es"
amortizations,"%a.m@`.4@z.""e.Sn=z"
amortized,"""a.m@`.taIzd"
amortizes,"""a.m@`.taIz.@z"
amortizing,"""a.m@`.t%aIz.IN"
AMOS,"""e.mAs"
amours,"@.m""Urz"
amperage,"""am.p@`.IdZ"
amperes,"""am.pIrz"
ampersands,"""am.p@`.s%andz"
amphibians,"am.f""I.bi@nz"
AMPHIBOLOGY,"%am.f@.b""A.l@.dZi"
amphitheatre,"""am.fI.T%i@.4@`"
amphitheatres,"""am.fI.T%i@.4@`z"
amphora,"""am.f@`.r@"
amphorae,"""amf@`%i"
amphoras,"""am.f@`.r@z"
ampler,"""am.pl=.@`"
amplest,"""am.pl=.Ist"
amplifies,"""am.pl@.faIz"
ampoule,"""am.pul"
ampoules,"""am.pulz"
amps,"""amps"
amputates,"""am.pj@.tets"
amputating,"""am.pj@.t%e4.IN"
amputations,"%am.pj@.t""e.Sn=z"
amputees,"%am.pj@.t""iz"
AMRA,NULL
AMT,"""amt"
amuses,"@.mj""uz.@z"
ANA,"""a.n@"
ANABAPTISTS,"%a.n@.b""ap.tIsts"
ANABEL,"""a.n@.bEl"
ANABAPTIST,"%a.n@.b""ap.tIst"
anachronistic,"@.n%a.kr@.n""I.stIk"
anaemia,"@.n""i.mi@"
anaemic,"@.n""i.mIk"
anaemically,"@.n""i.mIk.li"
anaesthesia,"%a.n@s.T""i.Z@"
anaesthetics,"%a.n@s.T""E.4Iks"
anaesthetist,"@.n""Es.T@.4Ist"
anaesthetists,"@.n""Es.T@.4Ists"
anaesthetized,"@.n""Es.T@.taIzd"
anaesthetizes,"@.n""Es.T@.t%aIz.@z"
anaesthetizing,"@.n""Es.T@.t%aIz.IN"
anagrams,"""a.n@.gramz"
analecta,"%an""l=Ekt@"
analects,"""an%l=Ekts"
analgesia,"%a.nl=.dZ""i.Z@"
analgesic,"%a.nl=.dZ""i.zIk"
analgesics,"%an@ldZ""izIks"
analogize,"@.n""a.l@.dZaIz"
analogized,"@.n""a.l@.dZaIzd"
analogizes,"@.n""a.l@.dZ%aIz.@z"
analogizing,"@.n""a.l@.dZ%aIz.IN"
analogously,"@.n""a.l@.g@s.li"
analogue,"""a.n@.lOg"
analogues,"""a.n@.lOgz"
analyse,"""a.nl=.aIz"
analysing,"""a.nl=.%aIz.IN"
ANALYTICITY,"%an@l@t""Is@ti"
ANALYTROL,NULL
ANANIA,"An""Ani@"
anapaest,"""an@%pist"
anapaestic,"""An@.p%aIz.t%Ik"
anapaests,"""an@%pists"
ANAPLASMOSIS,"%a.n@.plaz.m""o.sIs"
anarchically,"a.n""Ark.Ik.li"
anarchistic,"%a.n@`k.""Ist.Ik"
anarchistically,"%a.n@`k.""Ist.Ik.%a.laI"
anarchists,"""a.n@`k.Ists"
ANASTOMOSES,"@.n%a.st@.m""o.siz"
anathema,"@.n""a.T@.m@"
anathemas,"@.n""a.T@.m@z"
ANASTOMOSIS,"@.n%a.st@.m""o.sIs"
ANASTOMOTIC,"@.n%a.st@.m""A.4Ik"
anathematize,"@""naT@m@%taIz"
anathematized,"@""naT@m@%taIzd"
anathematizes,"@""naT@m@%taIz@z"
anathematizing,"@""naT@m@%taIzIN"
ANATOLE,"""an@%tol"
ANATOMICALS,NULL
anatomies,"@.n""a.4@.miz"
anatomist,"@.n""a.4@.mIst"
anatomists,"@.n""a.4@.mIsts"
ANCEL,"@ns""El"
ancestress,"""ansEstrIs"
ancestresses,"""ansEstrIs@z"
ancestries,"""an.sE.striz"
anchorages,"""aN.k@`.IdZ.@z"
anchoress,"""aNk@`Is"
anchoresses,"""aNk@`Is@z"
anchorite,"""aN.k@`.raIt"
anchorites,"""aN.k@`.raIts"
ANCHORITISM,"""aNk@`aI%tIz@m"
anchormen,"""aN.k@`.m%En"
anchovies,"""an.tSo.viz"
ancillaries,"""an.s@.l%E.riz"
ANCISTRODON,NULL
andantes,"an.d""an.4iz"
ANDERLINI,"%and@`l""ini"
ANDERS,"""an.4@`z"
ANDERSON,"""an.4@`.sn="
ANDERSON'S,"""an.4@`.sn=z"
andiron,"""an.daI@`n"
andirons,"""an.daI@`nz"
Andorra,"an.d""O.r@"
Andorran,"an.d""O.r@n"
Andorrans,"an.d""O.r@nz"
ANDREI,"""An.dre"
ANDREI'S,"""Andr%e%aIz"
ANDRENA,"""and.%rin@"
