Word,WordNet,MacMillan
a,7,NA
aa,3,NA
aaa,1,NA
aah,1,NA
aahed,NA,NA
aahing,NA,NA
aahs,NA,NA
aal,NA,NA
aardvark,1,1
aargh,NA,NA
aaron,2,NA
aarrgh,NA,NA
aarrghh,NA,NA
aas,1,NA
ab,4,NA
aba,2,NA
abaca,2,NA
aback,2,NA
abacus,2,1
abacuses,NA,NA
abaddon,NA,NA
abaft,1,NA
abalone,1,1
abalones,NA,NA
abandon,7,7
abandoned,2,2
abandoner,NA,NA
abandoning,NA,NA
abandonment,3,NA
abandons,NA,NA
abase,1,NA
abastard,NA,NA
abate,2,1
abated,NA,NA
abatement,2,1
abates,NA,NA
abating,NA,NA
abattoir,1,NA
abay,NA,NA
abb,1,NA
abba,NA,NA
abbas,NA,NA
abbe,1,NA
abbess,1,1
abbesses,NA,NA
abbey,3,1
abbot,1,NA
abbott,NA,NA
abbreviate,2,NA
abbreviated,2,1
abbreviation,2,1
abbreviations,NA,NA
abby,NA,NA
abc,1,NA
abd,NA,NA
abdicate,1,2
abdicated,NA,NA
abdicates,NA,NA
abdicating,NA,NA
abdication,2,NA
abdomen,2,2
abdomens,NA,NA
abdominal,2,1
abdominals,NA,NA
abduct,2,1
abducted,NA,NA
abductee,NA,NA
abductees,NA,NA
abducting,1,NA
abduction,2,NA
abductions,NA,NA
abductor,2,2
abductors,NA,NA
abducts,NA,NA
abeam,1,NA
abed,1,NA
abel,2,NA
abele,1,NA
abend,NA,NA
aberdeen,4,NA
abernethy,NA,NA
aberrant,2,1
aberration,3,2
aberrations,NA,NA
abet,1,1
abetted,NA,NA
abetting,NA,NA
abettor,1,NA
abeyance,1,NA
abhor,1,1
abhorred,NA,NA
abhorrent,1,1
abhors,NA,NA
abide,2,1
abided,NA,NA
abiders,NA,NA
abides,NA,NA
abiding,1,1
abigail,NA,NA
abilene,2,NA
abilities,NA,NA
ability,2,3
abiogenist,1,NA
abit,NA,NA
abject,4,1
abjectly,1,NA
abjure,1,1
ablate,2,NA
ablated,1,NA
ablation,2,NA
ablaze,4,3
able,4,1
abler,NA,NA
ablest,NA,NA
abloom,1,NA
ablution,1,NA
ablutions,NA,1
ably,1,1
abner,NA,NA
abnormal,3,1
abnormalities,NA,NA
abnormality,4,1
abnormally,1,NA
abnormity,NA,NA
abo,NA,NA
aboard,4,2
abode,2,1
abogado,NA,NA
abolish,1,1
abolished,NA,NA
abolishes,NA,NA
abolishing,NA,NA
abolition,1,1
abolitionism,1,NA
